name,body_type,price,url,image_count,scraped_at
Maruti Baleno,Hatchback,Rs.5.99 - 9.10 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno,5,2025-09-28T07:27:38.474888
Maruti Suzuki Ertiga,MUV/MPV,Rs.8.80 - 12.94 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Ertiga,5,2025-09-28T07:27:47.978781
Maruti Suzuki Grand Vitara,SUV,Rs.10.77 - 19.72 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Grand_Vitara,5,2025-09-28T07:27:59.793617
Maruti Suzuki Celerio,Passenger Car,Rs.4.70 - 6.73 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Celerio,5,2025-09-28T07:28:09.630394
Maruti Suzuki Ignis,Passenger Car,Rs.5.35 - 7.55 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Ignis,5,2025-09-28T07:28:20.123693
Maruti Suzuki Eeco,Passenger Car,Rs.5.21 - 6.36 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Eeco,5,2025-09-28T07:28:30.183189
Maruti Suzuki Ciaz,Sedan,Rs.9.09 - 11.89 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Ciaz,5,2025-09-28T07:28:40.067404
Maruti Swift,Hatchback,Rs.5.79 - 8.80 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/swift,5,2025-09-28T07:28:50.695862
Maruti FRONX,Passenger Car,Rs.6.85 - 11.98 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/fronx,5,2025-09-28T07:29:01.781529
Maruti Alto K10,Passenger Car,Rs.3.70 - 5.45 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/alto-k10,5,2025-09-28T07:29:13.530421
(View On Road Price),Passenger Car,Rs.5.79 - 8.80 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/maruti/swift/price-in-new-delhi,1,2025-09-28T07:29:23.696339
(View On Road Price),Passenger Car,Rs.6.85 - 11.98 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/maruti/fronx/price-in-new-delhi,1,2025-09-28T07:29:30.243849
(View On Road Price),Passenger Car,Rs.3.70 - 5.45 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/maruti/alto-k10/price-in-new-delhi,1,2025-09-28T07:29:36.648691
Maruti Suzuki Dzire,Sedan,Rs.6.26 - 9.31 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/dzire,5,2025-09-28T07:29:43.813816
(View On Road Price),Passenger Car,Rs.6.26 - 9.31 Lakh**Ex-showroom PriceinNew Delhi,https://www.cardekho.com/maruti/dzire/price-in-new-delhi,1,2025-09-28T07:29:53.475903
Maruti Baleno,Hatchback,Rs.5.99 - 9.10 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/carmodels/Maruti/Maruti_Baleno,5,2025-09-28T07:30:08.442671
Hyundai i20 2020-2023,Hatchback,Rs.7.46 Lakh - 11.88 Lakh*,https://www.cardekho.com/carmodels/Hyundai/Hyundai_i20_2020-2023,5,2025-09-28T07:30:16.132789
Maruti Swift,Hatchback,Rs.5.79 - 8.80 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/swift,5,2025-09-28T07:30:23.893908
Maruti FRONX,Passenger Car,Rs.6.85 - 11.98 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/fronx,5,2025-09-28T07:30:30.414379
Maruti Alto K10,Passenger Car,Rs.3.70 - 5.45 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/maruti/alto-k10,5,2025-09-28T07:30:37.031332
Hyundai Creta,SUV,Rs.10.73 - 20.20 Lakh*Get On-Road Price*Ex-Showroom Price inNew Delhi,https://www.cardekho.com/hyundai/creta,5,2025-09-28T07:30:45.106048
